   ,Player               ,Pos  ,Age ,Tm ,G   ,GS  ,MP  ,FG ,FGA ,FG%  ,3P ,3PA,3P%  ,2P ,2PA ,2P%  ,eFG% ,FT ,FTA ,FT%  ,ORB,DRB ,TRB ,AST ,STL,BLK,TOV,PF ,PTS
248,Ryan Gomes           ,SF   ,28.0,LAC,76.0,62.0,27.6,2.7,6.6 ,0.41 ,0.9,2.8,0.341,1.8,3.9 ,0.459,0.481,0.8,1.1 ,0.718,0.8,2.5 ,3.3 ,1.6 ,0.8,0.2,0.7,2.1,7.2
249,Drew Gooden          ,PF   ,29.0,MIL,35.0,18.0,24.6,4.5,10.3,0.431,0.1,0.6,0.15 ,4.4,9.8 ,0.447,0.435,2.3,2.9 ,0.794,2.1,4.7 ,6.8 ,1.3 ,0.6,0.5,1.3,2.8,11.3
250,Ben Gordon           ,SG   ,27.0,DET,82.0,27.0,26.0,4.1,9.4 ,0.44 ,1.3,3.2,0.402,2.8,6.1 ,0.46 ,0.51 ,1.7,2.0 ,0.85 ,0.5,1.9 ,2.4 ,2.1 ,0.6,0.2,1.7,2.2,11.2
251,Eric Gordon          ,SG   ,22.0,LAC,56.0,56.0,37.7,7.6,16.9,0.45 ,1.9,5.2,0.364,5.7,11.8,0.488,0.506,5.1,6.2 ,0.825,0.8,2.1 ,2.9 ,4.4 ,1.3,0.3,2.7,2.1,22.3
252,Marcin Gortat        ,C    ,26.0,TOT,80.0,14.0,25.4,4.2,7.5 ,0.561,0.0,0.1,0.25 ,4.2,7.5 ,0.563,0.561,1.8,2.4 ,0.725,1.9,6.0 ,7.9 ,0.9 ,0.5,1.1,1.0,2.4,10.2
255,Joey Graham          ,SF   ,28.0,CLE,39.0,8.0 ,15.0,2.1,4.6 ,0.458,0.2,0.8,0.3  ,1.9,3.8 ,0.49 ,0.483,0.7,0.9 ,0.806,0.2,1.9 ,2.2 ,0.5 ,0.2,0.2,0.7,1.9,5.2
256,Stephen Graham       ,SG   ,28.0,NJN,59.0,28.0,16.3,1.4,3.4 ,0.405,0.1,0.4,0.238,1.3,3.0 ,0.425,0.418,0.5,0.6 ,0.816,0.3,1.8 ,2.1 ,0.7 ,0.2,0.0,0.6,1.8,3.4
257,Danny Granger        ,SF   ,27.0,IND,79.0,79.0,35.0,6.8,15.9,0.425,2.0,5.2,0.386,4.8,10.8,0.443,0.487,5.0,5.9 ,0.848,1.1,4.3 ,5.4 ,2.6 ,1.1,0.8,2.6,2.7,20.5
260,Jeff Green           ,PF-SF,24.0,TOT,75.0,51.0,32.4,4.9,10.9,0.449,0.9,2.8,0.303,4.1,8.1 ,0.499,0.488,2.6,3.3 ,0.811,1.0,3.8 ,4.8 ,1.4 ,0.7,0.5,1.3,2.8,13.3
263,Willie Green         ,SG   ,29.0,NOH,77.0,13.0,21.7,3.5,7.9 ,0.443,0.7,2.0,0.348,2.8,5.9 ,0.476,0.488,1.0,1.3 ,0.78 ,0.3,1.8 ,2.1 ,1.0 ,0.5,0.2,0.9,1.9,8.7
